#{"t_start": 1595257204.4953346, "env_id": "NovelGridworld-v0"}
r,l,t
48,3,163.412799
44,7,163.479762
50,1,163.490755
37,14,163.619681
49,2,163.63967
42,9,163.727618
39,12,163.847549
47,4,163.897521
45,6,163.952488
50,1,163.961486
46,5,164.005458
38,13,164.127388
42,9,164.21234
47,4,164.251316
49,2,164.269306
40,11,164.372247
48,3,164.399232
48,3,164.429214
49,2,164.448203
50,1,164.459197
36,15,164.602114
50,1,164.613109
49,2,164.633098
13,38,164.990901
44,7,165.051855
45,6,165.114819
43,8,165.197787
44,7,165.263733
33,18,165.447627
48,3,165.478608
40,11,165.585547
49,2,165.608535
45,6,165.6675
47,4,165.70548
47,4,165.746466
47,4,165.783433
44,7,165.845397
42,9,165.929352
44,7,165.997314
46,5,166.046285
44,7,166.11924
39,12,166.229177
50,1,166.24017
48,3,166.269153
44,7,166.33112
49,2,166.348113
41,10,166.441054
46,5,166.493024
50,1,166.504019
45,6,166.56099
48,3,166.589969
43,8,166.669923
48,3,166.701904
48,3,166.730887
35,16,166.885809
47,4,166.922779
48,3,166.951762
46,5,166.995737
50,1,167.00574
42,9,167.095676
37,14,167.225602
46,5,167.278572
47,4,167.320547
48,3,167.35053
40,11,167.468462
47,4,167.511437
49,2,167.531425
50,1,167.541421
48,3,167.572402
40,11,167.689334
43,8,167.774286
47,4,167.814263
44,7,167.884222
49,2,167.907213
43,8,167.987163
44,7,168.057123
31,20,168.281993
39,12,168.409919
39,12,168.538848
41,10,168.638788
38,13,168.761717
49,2,168.777707
32,19,168.951618
50,1,168.962603
40,11,169.065543
45,6,169.123508
34,17,169.279418
47,4,169.317396
39,12,169.427333
47,4,169.472307
45,6,169.533272
49,2,169.552262
45,6,169.60623
38,13,169.73517
43,8,169.807118
45,6,169.863084
46,5,169.913064
48,3,169.947033
38,13,170.061967
50,1,170.072961
47,4,170.111938
46,5,170.16091
48,3,170.187895
50,1,170.197888
39,12,170.308835
47,4,170.342816
47,4,170.380785
37,14,170.511707
49,2,170.533695
36,15,170.671615
43,8,170.743574
48,3,170.769575
36,15,170.911479
45,6,170.967445
46,5,171.011431
50,1,171.021413
28,23,171.246284
48,3,171.27228
46,5,171.317245
33,18,171.491143
41,10,171.590097
44,7,171.656059
48,3,171.683034
37,14,171.821963
48,3,171.851936
26,25,172.094795
47,4,172.136771
48,3,172.174749
49,2,172.199734
46,5,172.254704
47,4,172.299678
30,21,172.530545
45,6,172.59451
41,10,172.720436
46,5,172.7824
46,5,172.842366
50,1,172.854357
46,5,172.910326
27,24,173.175174
41,10,173.277117
47,4,173.316091
45,6,173.383055
37,14,173.568945
45,6,173.640904
33,18,173.818801
43,8,173.896756
43,8,173.975711
43,8,174.04967
41,10,174.143616
47,4,174.183602
47,4,174.223568
39,12,174.334504
39,12,174.442442
42,9,174.528411
42,9,174.613343
48,3,174.650321
49,2,174.669322
40,11,174.776249
49,2,174.798252
44,7,174.864199
48,3,174.892182
39,12,175.00112
47,4,175.038099
49,2,175.058087
50,1,175.071079
47,4,175.114055
31,20,175.298948
44,7,175.366925
33,18,175.546821
49,2,175.568792
39,12,175.681729
48,3,175.711711
48,3,175.746705
46,5,175.796663
48,3,175.822647
48,3,175.85363
46,5,175.911595
42,9,175.996561
46,5,176.045517
42,9,176.128471
46,5,176.175445
40,11,176.278386
38,13,176.396315
50,1,176.405314
29,22,176.618188
44,7,176.691145
46,5,176.744133
48,3,176.7731
42,9,176.861047
