#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
45,6,91.731121
24,27,91.904021
48,3,91.926008
17,34,92.153876
33,18,92.27181
48,3,92.293796
27,24,92.44571
48,3,92.4647
47,4,92.490685
48,3,92.509674
47,4,92.536656
44,7,92.582631
34,17,92.698563
44,7,92.744537
41,10,92.812497
47,4,92.836486
44,7,92.88146
43,8,92.932429
49,2,92.94642
44,7,92.996393
49,2,93.009384
47,4,93.038367
49,2,93.055358
49,2,93.070349
49,2,93.086341
42,9,93.147304
47,4,93.175287
29,22,93.320204
41,10,93.385167
41,10,93.453128
50,1,93.460123
45,6,93.5021
47,4,93.531082
49,2,93.546074
42,9,93.60704
49,2,93.622032
44,7,93.671003
21,30,93.869888
47,4,93.894876
45,6,93.933851
24,27,94.111748
43,8,94.161719
36,15,94.256665
49,2,94.269658
46,5,94.301641
44,7,94.349612
-10,61,94.738387
44,7,94.784361
49,2,94.798352
48,3,94.818341
50,1,94.825337
42,9,94.887303
49,2,94.900295
46,5,94.933274
45,6,94.974251
41,10,95.043227
49,2,95.060217
44,7,95.111172
16,35,95.348036
50,1,95.357046
46,5,95.391011
45,6,95.429988
46,5,95.46197
46,5,95.498948
43,8,95.551919
45,6,95.594896
47,4,95.627874
49,2,95.643865
48,3,95.665855
48,3,95.68684
49,2,95.701834
50,1,95.709827
45,6,95.749804
50,1,95.7568
45,6,95.795777
38,13,95.884728
45,6,95.926703
49,2,95.939695
50,1,95.947691
37,14,96.047632
48,3,96.070619
47,4,96.098603
30,21,96.236525
43,8,96.290493
45,6,96.33147
49,2,96.344461
41,10,96.413421
44,7,96.461393
47,4,96.491376
46,5,96.525358
43,8,96.577326
45,6,96.621304
49,2,96.637292
39,12,96.717246
29,22,96.881154
38,13,96.969104
38,13,97.055051
46,5,97.09203
44,7,97.141002
50,1,97.147998
41,10,97.217958
48,3,97.240944
50,1,97.247941
47,4,97.278923
46,5,97.312903
40,11,97.385862
33,18,97.504793
29,22,97.663701
38,13,97.75265
33,18,97.903563
42,9,97.983517
45,6,98.031489
42,9,98.103447
46,5,98.140426
50,1,98.149421
46,5,98.186399
48,3,98.209387
49,2,98.227376
34,17,98.355303
43,8,98.412269
38,13,98.501218
48,3,98.523205
44,7,98.568179
50,1,98.575175
40,11,98.65513
50,1,98.664124
37,14,98.762067
29,22,98.906983
44,7,98.957971
43,8,99.01892
41,10,99.10687
49,2,99.127857
47,4,99.163837
29,22,99.334737
48,3,99.354726
49,2,99.368718
45,6,99.411694
34,17,99.553612
43,8,99.624571
50,1,99.635565
48,3,99.662549
41,10,99.744501
47,4,99.771486
46,5,99.805466
44,7,99.854438
46,5,99.888418
28,23,100.040331
38,13,100.131278
40,11,100.202239
46,5,100.238217
14,37,100.477079
49,2,100.492071
41,10,100.564028
35,16,100.688956
33,18,100.82288
41,10,100.898835
32,19,101.041753
48,3,101.065741
49,2,101.083729
43,8,101.147692
45,6,101.195665
43,8,101.257629
49,2,101.27362
38,13,101.373562
45,6,101.418536
39,12,101.507485
36,15,101.623418
36,15,101.735353
48,3,101.76034
42,9,101.8293
33,18,101.962222
38,13,102.062165
47,4,102.092148
49,2,102.108139
49,2,102.123131
48,3,102.143118
47,4,102.170104
50,1,102.176102
43,8,102.22707
49,2,102.241063
45,6,102.285039
49,2,102.29803
48,3,102.317018
44,7,102.361994
33,18,102.480924
47,4,102.506908
9,42,102.789745
47,4,102.818729
49,2,102.835719
45,6,102.876696
47,4,102.90468
42,9,102.968645
41,10,103.037605
44,7,103.085576
44,7,103.145542
45,6,103.191514
40,11,103.267472
47,4,103.298453
40,11,103.375408
46,5,103.415386
49,2,103.430376
49,2,103.443369
50,1,103.452363
47,4,103.480348
47,4,103.508331
50,1,103.517327
48,3,103.540313
48,3,103.560302
50,1,103.567299
47,4,103.593282
48,3,103.61527
48,3,103.641257
48,3,103.662243
49,2,103.676235
