#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
-214,265,310.754873
32,19,310.928762
49,2,310.946754
48,3,310.975737
35,16,311.113657
46,5,311.154631
41,10,311.238583
43,8,311.310542
40,11,311.412484
47,4,311.453459
48,3,311.485441
49,2,311.506429
50,1,311.516425
49,2,311.535414
29,22,311.753287
44,7,311.831242
46,5,311.878215
45,6,311.94018
36,15,312.089093
49,2,312.110082
44,7,312.178042
46,5,312.227015
38,13,312.348944
47,4,312.390919
49,2,312.410908
50,1,312.420902
39,12,312.539833
49,2,312.559821
46,5,312.608793
44,7,312.678755
42,9,312.768702
43,8,312.846656
46,5,312.895629
47,4,312.933607
42,9,313.009562
25,26,313.228452
48,3,313.255421
44,7,313.314387
42,9,313.390343
37,14,313.508276
45,6,313.557246
50,1,313.566242
46,5,313.611216
41,10,313.695167
47,4,313.72815
49,2,313.746153
41,10,313.842083
35,16,313.986
37,14,314.105931
50,1,314.115926
35,16,314.258842
36,15,314.389767
48,3,314.417751
48,3,314.446735
49,2,314.465724
42,9,314.543678
46,5,314.589655
47,4,314.63063
50,1,314.638625
45,6,314.689594
-61,112,315.680025
35,16,315.819944
47,4,315.856921
48,3,315.883906
46,5,315.932877
50,1,315.941872
40,11,316.033819
46,5,316.078796
16,35,316.368626
44,7,316.431591
44,7,316.494554
44,7,316.555518
49,2,316.574508
44,7,316.636472
44,7,316.694438
47,4,316.731417
39,12,316.834357
44,7,316.896324
45,6,316.952306
47,4,316.987269
42,9,317.068223
50,1,317.078219
45,6,317.127189
35,16,317.258115
48,3,317.283098
41,10,317.36905
50,1,317.379045
41,10,317.465993
48,3,317.490979
36,15,317.625904
27,24,317.837779
41,10,317.922745
48,3,317.953723
28,23,318.143603
41,10,318.231552
6,45,318.621327
49,2,318.640319
46,5,318.684292
42,9,318.765246
40,11,318.86019
43,8,318.92915
34,17,319.073067
45,6,319.128036
35,16,319.262958
45,6,319.389206
43,8,319.534123
46,5,319.587094
47,4,319.633067
42,9,319.725013
4,47,320.164759
39,12,320.268711
45,6,320.32267
48,3,320.348653
46,5,320.391641
25,26,320.630491
29,22,320.871353
40,11,320.985286
49,2,321.006274
48,3,321.035258
41,10,321.1352
45,6,321.189169
34,17,321.343082
-54,105,322.314536
44,7,322.375484
32,19,322.543389
43,8,322.61235
45,6,322.670315
50,1,322.680309
32,19,322.841217
48,3,322.866202
45,6,322.916173
43,8,322.987133
45,6,323.036105
45,6,323.087076
20,31,323.351924
43,8,323.419883
48,3,323.444869
42,9,323.518825
48,3,323.546812
41,10,323.659746
48,3,323.695724
47,4,323.75369
37,14,323.920595
24,27,324.256401
41,10,324.347348
48,3,324.380329
50,1,324.393322
46,5,324.454287
37,14,324.599203
31,20,324.810083
